species;substances;substancess_reference;family;family_reference
Bacidia heterochroa;atranorin;lias;Ramalinaceae;gbif
Bacidia iberica;atranorin;italic;Ramalinaceae;gbif
Bacidia iberica;atranorin;lias;Ramalinaceae;gbif
Bacidia igniarii;unknown/unidentified pigment(s);lias;Byssolomataceae;gbif
Bacidia irrorata;loxodin, norlobaridone, unknown/unidentified compound(s), usnic acid;lias;Ramalinaceae;gbif
Bacidia johnstoniae;4,5-dichloro-3-o-methylnorlichexanthone, 4,5-dichlorolichexanthone (coronatone), 4-chlorolichexanthone, dioxocondidymic acid, dioxodidymic acid, dioxoisodidymic acid, oxodidymic acid;lias;Ramalinaceae;gbif
Bacidia laurocerasi;atranorin;italic;Ramalinaceae;gbif
Bacidia lobarica;lobaric acid;lias;Ramalinaceae;gbif
Bacidia macrocucospora;consalazinic acid, salazinic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia minutula;consalazinic acid, protocetraric acid, salazinic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia muscicola;constictic acid, norstictic acid, stictic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia mutabilis;atranorin, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
