species;substances;substancess_reference;family;family_reference
Bacidia paramedialis;unknown/unidentified pigment(s);lias;Ramalinaceae;gbif
Bacidia parathalassica;atranorin;italic;Ramalinaceae;gbif
Bacidia polychroa;atranorin;italic;Ramalinaceae;gbif
Bacidia polychroa;atranorin;lias;Ramalinaceae;gbif
Bacidia rhabdospora;conechinocarpic acid, echinocarpic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia rosellizans;atranorin;lias;Ramalinaceae;gbif
Bacidia salazarensis;atranorin;lias;Ramalinaceae;gbif
Bacidia sanctae-luciae;connorstictic acid, constictic acid, cryptostictic acid, hypostictic acid, norstictic acid, stictic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia stigmatoidea;consalazinic acid, salazinic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia syncephala;2'-o-demethylpsoromic acid, psoromic acid, usnic acid;lias;Ramalinaceae;gbif
Bacidia viridifarinosa;lichexanthone;lias;Byssolomataceae;gbif
Bactrospora flavopruinosa;protosimonyellin, simonyellin_= 686;lias;Roccellaceae;gbif
Bactrospora myriadea;unknown/unidentified compound(s);lias;Roccellaceae;gbif
Bactrospora pleistophragmia;unknown/unidentified compound(s);lias;Roccellaceae;gbif
Baculifera epifuscescens;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Baculifera imshaugiana;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Baculifera intermedioides;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Baculifera macromera;atranorin;lias;Caliciaceae;gbif
Baculifera metaphragmioides;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Baculifera micromera;atranorin;lias;Caliciaceae;gbif
Baculifera orosa;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Baculifera pseudomicromera;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Badimia dimidiata;usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia galbinea;usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia montoyana;unknown/unidentified compound(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia multiseptata;usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia pallidula;usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia polillensis;usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia tuckermanii;3-o-methylasemone, usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Badimia vezdana;usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Baeomyces amoenus;consalazinic acid, norstictic acid, salazinic acid, usnic acid;lias;Baeomycetaceae;gbif
Baeomyces heteromorphus;connorstictic acid, crustinic acid, gyrophoric acid, norstictic acid, salazinic acid, subnorstictic acid;lias;Baeomycetaceae;gbif
Baeomyces placophyllus;stictic acid;lias;Baeomycetaceae;gbif
Baeomyces rufus;barbatic acid, constictic acid, cryptostictic acid, gyrophoric acid, norstictic acid, squamatic acid, stictic acid;lias;Baeomycetaceae;gbif
Baeotithis alpina;constictic acid, cryptostictic acid, hypoconstictic acid, hyposalazinic acid, hypostictic acid, stictic acid, usnic acid;lias;;gbif
Baflavia flavescens;isousnic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Bapalmuia lineata;4,5-dichlorolichexanthone (coronatone);lias;Byssolomataceae;gbif
Bapalmuia pallescens;4,5-dichlorolichexanthone (coronatone);lias;Byssolomataceae;gbif
Bapalmuia palmularis;4,5-dichlorolichexanthone (coronatone);lias;Byssolomataceae;gbif
Bathelium degenerans;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Bathelium feei;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Bathelium madreporiforme;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Bathelium mastoideum;unknown/unidentified anthraquinone(s);lias;Trypetheliaceae;gbif
Bellemerea alpina;norstictic acid;italic;Lecideaceae;gbif
Bellemerea alpina;norstictic acid;lias;Lecideaceae;gbif
Biatora aegrefaciens;gyrophoric acid;lias;Ramalinaceae;gbif
Biatora aureolepra;5-o-methylhiascic acid, gyrophoric acid, lecanoric acid;lias;Ramalinaceae;gbif
Biatora britannica;argopsin, norargopsin;lias;Ramalinaceae;gbif
Biatora chrysantha;gyrophoric acid, lecanoric acid;italic;Ramalinaceae;gbif
Biatora chrysantha;atranorin, gyrophoric acid, lecanoric acid;lias;Ramalinaceae;gbif
Biatora cuprea;argopsin;italic;Ramalinaceae;gbif
Biatora cuprea;argopsin;lias;Ramalinaceae;gbif
Biatora efflorescens;argopsin;italic;Ramalinaceae;gbif
Biatora efflorescens;argopsin, norargopsin;lias;Ramalinaceae;gbif
Biatora epixanthoidiza;gyrophoric acid;lias;Ramalinaceae;gbif
Biatora fallax;argopsin;italic;Ramalinaceae;gbif
Biatora fallax;argopsin, gyrophoric acid, norargopsin;lias;Ramalinaceae;gbif
Biatora flavopunctata;atranorin, isousnic acid, usnic, usnic acid;italic;Lecanoraceae;gbif
Biatora flavopunctata;atranorin, cryptostictic acid, isousnic acid, stictic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Lecanoraceae;gbif
Biatora helvola;gyrophoric acid;italic;Ramalinaceae;gbif
Biatora helvola;gyrophoric acid, lecanoric acid;lias;Ramalinaceae;gbif
Biatora hertelii;argopsin, norargopsin;lias;Ramalinaceae;gbif
Biatora hypophaea;argopsin, norargopsin;lias;Ramalinaceae;gbif
Biatora kodiakensis;gyrophoric acid, lecanoric acid;lias;Ramalinaceae;gbif
Biatora ligni-mollis;lobaric acid;lias;Ramalinaceae;gbif
Biatora mendax;argopsin;italic;Ramalinaceae;gbif
Biatora mendax;argopsin, norargopsin;lias;Ramalinaceae;gbif
Biatora ocelliformis;argopsin;italic;Ramalinaceae;gbif
Biatora ocelliformis;argopsin;lias;Ramalinaceae;gbif
Biatora pallens;usnic, zeorin;italic;Ramalinaceae;gbif
Biatora pontica;thiophanic acid;italic;Ramalinaceae;gbif
Biatora sphaeroidiza;4,5,7-trichloronorlichexanthone (asemone), thiophanic acid;lias;Ramalinaceae;gbif
Biatora subduplex;unknown/unidentified compound(s);lias;Ramalinaceae;gbif
Biatora subgilva;usnic;italic;Ramalinaceae;gbif
Biatora subgilva;isousnic acid, usnic acid;lias;Ramalinaceae;gbif
Biatora toensbergii;argopsin, norargopsin;lias;Ramalinaceae;gbif
Biatora troendelagica;divaricatic acid;lias;Ramalinaceae;gbif
Biatora vacciniicola;gyrophoric acid;italic;Lecanoraceae;gbif
Biatora vacciniicola;gyrophoric acid;lias;Lecanoraceae;gbif
Biatorella carestiae;connorstictic acid, norstictic acid, usnic acid;lias;Biatorellaceae;gbif
Bilimbia lobulata;zeorin;italic;Ramalinaceae;gbif
Blarneya hibernica;lecanoric acid;lias;Arthoniaceae;gbif
Blastenia ameliensis;constictic acid, cryptostictic acid, norstictic acid, stictic acid, usnic acid;lias;Teloschistaceae;gbif
Blastenia cretacea;consalazinic acid, norstictic acid, protocetraric acid, salazinic acid, usnic acid;lias;Lecanoraceae;gbif
Blastenia granulosa;emodin, evernic acid, lecanoric acid, usnic acid;lias;Teloschistaceae;gbif
Blastenia metzleri;lecanoric acid, usnic acid;lias;Teloschistaceae;gbif
Blastenia subathallina;parietin;italic;Teloschistaceae;gbif
Boreoplaca ultrafrigida;lecanoric acid;lias;Ophioparmaceae;gbif
Botryolepraria lesdainii;lesdainic acid (6α-acetoxyhopan-22-ol), zeorin (hopane-6α,22-diol);lias;;gbif
Botryolepraria neotropica;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;;gbif
Brasilicia brasiliensis;zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Brigantiaea fuscolutea;atranorin, chloroatranorin, parietin;lias;Brigantiaeaceae;gbif
Brigantiaea leucoxantha;atranorin, parietin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Brigantiaeaceae;gbif
Brigantiaea lobulata;atranorin, caloploicin, fulgidin, isofulgidin, parietin, vicanicin;lias;Brigantiaeaceae;gbif
Brigantiaea lobulatisidiata;parietin, zeorin (hopane-6α,22-diol);lias;Brigantiaeaceae;gbif
Brigantiaea lordhowensis;7-chloroemodin, atranorin, parvifoliellin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), zeorin (hopane-6α,22-diol);lias;Brigantiaeaceae;gbif
Brigantiaea microcarpa;atranorin, parietin, zeorin (hopane-6α,22-diol);lias;Brigantiaeaceae;gbif
Brigantiaea phaeomma;atranorin, caloploicin, fulgidin, isofulgidin, parietin, vicanicin;lias;Brigantiaeaceae;gbif
Brigantiaea tricolor;atranorin, ligastroquinone, parietin, simonyellin, zeorin (hopane-6α,22-diol);lias;Brigantiaeaceae;gbif
Brodoa atrofusca;atranorin, chloroatranorin;italic;Parmeliaceae;gbif
Brodoa atrofusca;atranorin, physodic acid, protocetraric acid;lias;Parmeliaceae;gbif
Brodoa intestiniformis;atranorin, chloroatranorin;italic;Parmeliaceae;gbif
Brodoa intestiniformis;atranorin, fumarprotocetraric acid;lias;Parmeliaceae;gbif
Brodoa oroarctica;atranorin, physodic acid, protocetraric acid;lias;Parmeliaceae;gbif
Bryocaulon divergens;olivetoric acid;lias;Parmeliaceae;gbif
Bryocaulon pseudosatoanum;olivetoric acid;lias;Parmeliaceae;gbif
Bryocaulon satoanum;physodic acid;lias;Parmeliaceae;gbif
Bryonora castanea;norstictic acid;italic;Lecanoraceae;gbif
Bryonora castanea;norstictic acid;lias;Lecanoraceae;gbif
Bryonora granulata;perlatolic acid;lias;Lecanoraceae;gbif
Bryonora peltata;protocetraric acid, usnic acid;lias;Lecanoraceae;gbif
Bryonora pruinosa;usnic, usnic acid;italic;Lecanoraceae;gbif
Bryonora rhypariza;norstictic acid;lias;Lecanoraceae;gbif
Bryoplaca jungermanniae;emodin, emodinic acid;italic;Teloschistaceae;gbif
Bryoplaca sinapisperma;atranorin;italic;Teloschistaceae;gbif
Bryoria bicolor;fumarprotocetraric acid;italic;Parmeliaceae;gbif
Bryoria bicolor;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria capillaris;atranorin, barbatolic acid, fumarprotocetraric acid, psoromic acid;italic;Parmeliaceae;gbif
Bryoria capillaris;alectorialic acid, atranorin, barbatolic acid;lias;Parmeliaceae;gbif
Bryoria carlottae;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria cervinula;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria chalybeiformis;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria divergescens;confumarprotocetraric acid, fumarprotocetraric acid, lobaric acid, protocetraric acid, unknown/unidentified compound(s);lias;Parmeliaceae;gbif
Bryoria fremonti;vulpinic acid;lias;Parmeliaceae;gbif
Bryoria fremontii;vulpinic acid;italic;Parmeliaceae;gbif
Bryoria furcellata;fumarprotocetraric acid;italic;Parmeliaceae;gbif
Bryoria furcellata;fumarprotocetraric acid, protocetraric acid;lias;Parmeliaceae;gbif
Bryoria fuscescens;atranorin, chloroatranorin;italic;Parmeliaceae;gbif
Bryoria fuscescens;fumarprotocetraric acid, protocetraric acid;lias;Parmeliaceae;gbif
Bryoria glabra;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria implexa;atranorin, fumarprotocetraric acid, gyrophoric acid, psoromic acid;lias;Parmeliaceae;gbif
Bryoria implexa;connorstictic acid, norstictic acid;lias;Parmeliaceae;gbif
Bryoria lanestris;fumarprotocetraric acid, protocetraric acid;lias;Parmeliaceae;gbif
Bryoria mariensis;norstictic acid;lias;Parmeliaceae;gbif
Bryoria motykae;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria nadvornikiana;atranorin, fumarprotocetraric acid;italic;Parmeliaceae;gbif
Bryoria nadvornikiana;alectorialic acid, atranorin, barbatolic acid, fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria nitidula;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria pikei;alectorialic acid, barbatolic acid, gyrophoric acid;lias;Parmeliaceae;gbif
Bryoria pseudocapillaris;alectorialic acid, barbatolic acid, unknown/unidentified compound(s);lias;Parmeliaceae;gbif
Bryoria spiralifera;atranorin, connorstictic acid, norstictic acid;lias;Parmeliaceae;gbif
Bryoria subcana;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria tenuis;fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria tortuosa;vulpinic acid;lias;Parmeliaceae;gbif
Bryoria trichodes;atranorin, chloroatranorin, fumarprotocetraric acid;lias;Parmeliaceae;gbif
Bryoria trichodes;atranorin, fumarprotocetraric acid;lias;Parmeliaceae;gbif
Buellia aeruginosa;unknown/unidentified xanthone(s);lias;Caliciaceae;gbif
Buellia aethalea;connorstictic acid, constictic acid, cryptostictic acid, menegazziaic acid, norstictic acid, stictic acid;lias;Caliciaceae;gbif
Buellia afghanica;unknown/unidentified fatty acid(s), usnic acid;lias;Caliciaceae;gbif
Buellia alboatra;norstictic acid;lias;Caliciaceae;gbif
Buellia alboatrior;atranorin, diploicin;lias;Caliciaceae;gbif
Buellia almeriensis;atranorin;italic;Caliciaceae;gbif
Buellia almeriensis;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia aptrootii;unknown/unidentified xanthone(s);lias;Caliciaceae;gbif
Buellia arborea;atranorin, placodiolic acid;italic;Caliciaceae;gbif
Buellia arborea;atranorin, placodiolic acid;lias;Caliciaceae;gbif
Buellia argillicola;connorstictic acid, hypostictic acid, norstictic acid, stictic acid;lias;Caliciaceae;gbif
Buellia arnoldii;atranorin;italic;Caliciaceae;gbif
Buellia arnoldii;atranorin;lias;Caliciaceae;gbif
Buellia asterella;atranorin;italic;Caliciaceae;gbif
Buellia asterella;atranorin, norstictic acid;lias;Caliciaceae;gbif
Buellia atrocinerella;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia austroalpina;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia bogongensis;atranorin, chloroatranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia bolacina;atranorin;lias;Caliciaceae;gbif
Buellia caesia;fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid, usnic acid;lias;Caliciaceae;gbif
Buellia caldesiana;atranorin, thiophanic acid;italic;Caliciaceae;gbif
Buellia caldesiana;arthothelin, atranorin;lias;Caliciaceae;gbif
Buellia capitis-regum;atranorin, chloroatranorin, diploicin, isofulgidin, o-methyldiploicin, placodiolic acid;lias;Caliciaceae;gbif
Buellia carballaliana;5-methoxylecanoric acid, 5-o-methylhiascic acid, lecanoric acid, methyl orsellinate, unknown/unidentified compound(s);lias;Caliciaceae;gbif
Buellia cedricola;connorstictic acid, norstictic acid, usnic acid;lias;Caliciaceae;gbif
Buellia centralis;hypoprotocetraric acid, nornotatic acid, rhizocarpic acid;lias;Caliciaceae;gbif
Buellia chloroleuca;4,5-dichloro-6-o-methylnorlichexanthone, 5,7-dichloro-3-o-methylnorlichexanthone, 5,7-dichloronorlichexanthone, 6-o-methylarthothelin, arthothelin, atranorin, isoarthothelin, variolaric acid;lias;Caliciaceae;gbif
Buellia christophii;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia cinnabarina;atranorin, eumitrin u, pannarin, secalonic acid a, unknown/unidentified secalonic acid derivate(s);lias;Caliciaceae;gbif
Buellia concinna;2,5,7-trichloro-3-o-methylnorlichexanthone, arthothelin;lias;Caliciaceae;gbif
Buellia cranfieldii;atranorin, chloroatranorin;lias;Caliciaceae;gbif
Buellia curatellae;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia curtisii;atranorin, norstictic acid, stictic acid;lias;Caliciaceae;gbif
Buellia desertica;atranorin, chloroatranorin, diploicin, fulgidin, isofulgidin, norstictic acid;lias;Caliciaceae;gbif
Buellia dijiana;4,5-dichloronorlichexanthone, arthothelin, thiophanic acid;lias;Caliciaceae;gbif
Buellia disciformis;atranorin;italic;Caliciaceae;gbif
Buellia disciformis;atranorin, brialmontin 1, brialmontin 2, fulgidin, fulgoicin, norfulgoicin;lias;Caliciaceae;gbif
Buellia discoensis;norlobaridone, usnic acid;lias;Caliciaceae;gbif
Buellia dispersa;atranorin;italic;Caliciaceae;gbif
Buellia dispersa;2-o-methylperlatolic acid, atranorin, chloroatranorin, confluentic acid;lias;Caliciaceae;gbif
Buellia dissa;atranorin, diploicin, fulgidin, isofulgidin;lias;Caliciaceae;gbif
Buellia dissa;atranorin, diploicin, fulgidin, isofulgidin;lias;Caliciaceae;gbif
Buellia dives;atranorin;italic;Caliciaceae;gbif
Buellia dives;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia ectolechioides;norstictic acid;lias;Caliciaceae;gbif
Buellia eganii;lecanoric acid;lias;Caliciaceae;gbif
Buellia elegans;atranorin, o-methylperlatolic acid;italic;Caliciaceae;gbif
Buellia endoferruginea;atranorin, connorstictic acid, divaricatic acid, norstictic acid, variolaric acid;lias;Caliciaceae;gbif
Buellia epifimbriata;norstictic acid;lias;Caliciaceae;gbif
Buellia erubescens;atranorin;italic;Caliciaceae;gbif
Buellia erubescens;atranorin, norstictic acid;lias;Caliciaceae;gbif
Buellia excelsa;atranorin, chloroatranorin;lias;Caliciaceae;gbif
Buellia fimbriata;3-chlorodivaricatic acid;lias;Caliciaceae;gbif
Buellia flavescens;atranorin;italic;Caliciaceae;gbif
Buellia fraudans;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia fusca;o-methylperlatolic acid;italic;Caliciaceae;gbif
Buellia fusca;2'-o-methylperlatolic acid;lias;Caliciaceae;gbif
Buellia galapogina;consalazinic acid, norstictic acid, protocetraric acid, salazinic acid, usnic acid;lias;Caliciaceae;gbif
Buellia geophila;6-o-methylarthothelin, capistraton;lias;Caliciaceae;gbif
Buellia georgei;4,5-dichloronorlichexanthone, arthothelin, thiophanic acid;lias;Caliciaceae;gbif
Buellia graminicola;6-o-methylarthothelin, unknown/unidentified anthraquinone(s);lias;Caliciaceae;gbif
Buellia granulosa;6-o-methylarthothelin;lias;Caliciaceae;gbif
Buellia griseovirens;atranorin, connorstictic acid, norstictic acid;italic;Caliciaceae;gbif
Buellia griseovirens;atranorin, connorstictic acid, norstictic acid, unknown/unidentified pigment(s);lias;Caliciaceae;gbif
Buellia halonia;2,4-dichloronorlichexanthone, 2,5-dichloronorlichexanthone, 2,7-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, 5,7-dichloronorlichexanthone, arthothelin, atranorin, isoarthothelin, norstictic acid, thiophanic acid, thiophaninic acid;lias;Caliciaceae;gbif
Buellia heppiana;constictic acid, cryptostictic acid, norstictic acid, stictic acid, usnic acid;lias;Caliciaceae;gbif
Buellia himalayensis;atranorin, norstictic acid;lias;Caliciaceae;gbif
Buellia homophylia;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia hookeri;consalazinic acid, salazinic acid, usnic acid;lias;Caliciaceae;gbif
Buellia hyperbolica;atranorin;italic;Caliciaceae;gbif
Buellia iberica;atranorin;italic;Caliciaceae;gbif
Buellia imshaugii;atranorin, pannarin;italic;Caliciaceae;gbif
Buellia imshaugii;stictic acid, usnic acid;lias;Caliciaceae;gbif
Buellia indissimilis;norstictic acid, unknown/unidentified xanthone(s);lias;Caliciaceae;gbif
Buellia insignis;6-o-methylarthothelin;lias;Caliciaceae;gbif
Buellia jugorum;arthothelin;lias;Caliciaceae;gbif
Buellia kimberleyana;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia lacteoidea;atranorin, connorstictic acid, gyrophoric acid, norstictic acid;lias;Caliciaceae;gbif
Buellia lauricassiae;atranorin, connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Buellia laurocanariensis;unknown/unidentified compound(s);lias;Caliciaceae;gbif
Buellia lepidastroidea;3-dechlorodiploicin, atranorin, chloroatranorin, diploicin, fulgidin, isofulgidin;lias;Caliciaceae;gbif
Buellia leptocline;atranorin;italic;Caliciaceae;gbif
